hex_id,priority_habitat_share,distance_to_priority_habitat_m,agri_opportunity_score_raw,flood_extent_share,flood_weighted_share,distance_to_flood_m,flood_proximity_score,flood_opportunity_score_raw,flood_feature_source,peat_extent_share,peatland_context_share,peat_weighted_share,distance_to_peat_m,peat_proximity_score,peat_opportunity_score_raw,peat_feature_source,bird_species_richness,bird_record_count,mammal_species_richness,mammal_record_count,cell_area_ratio,connectivity_score,undersized_cell_penalty,run_profile,flood_source_path,flood_source_layer,flood_clean_path,peat_source_path,peat_source_layer,peat_clean_path,bird_species_richness_score,bird_record_coverage_score,bird_observation_score_raw,mammal_species_richness_score,mammal_record_coverage_score,mammal_observation_score_raw,biodiversity_taxa_present,biodiversity_record_coverage_score,biodiversity_observation_score_raw,scenario_nature_first,scenario_balanced,scenario_low_conflict,restoration_opportunity_score,habitat_mosaic_score,lnrs_name
hex_0003845,10.842190044657155,279.57810854597585,100.0,0.13356234771830527,0.05342493908732211,76.8684682233128,99.65719579712113,33.64,dedicated_dataset,0.8738554181944664,0.8738554181944664,0.8738554181944664,0.0,100.0,91.17,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.28163319541883,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.1,64.4,68.73,87.63,54.21,
hex_0012762,2.3117591588676665,379.55861488749764,100.0,0.0,0.0,1003.0583829658287,95.52674019189998,28.66,dedicated_dataset,0.943623963998218,0.943623963998218,0.943623963998218,0.0,100.0,96.05,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,97.66712448407517,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.68,64.34,66.89,95.41,11.56,
hex_0103556,13.266298398549974,289.28440091944503,100.0,0.0,0.0,1357.8923112076527,93.94431550285924,28.18,dedicated_dataset,0.9726176472925928,0.9726176472925928,0.9726176472925928,0.0,100.0,98.08,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999035,98.22197555377846,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.07,64.22,69.01,85.19,66.33,
hex_0097921,7.108954720678116,289.58158028360293,100.0,0.027210220376787178,0.010884088150714873,333.96014172073154,98.51066447892133,30.32,dedicated_dataset,0.8944146240111137,0.8944146240111137,0.8944146240111137,0.0,100.0,92.61,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999035,98.22014900463616,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.15,64.1,67.72,91.24,35.54,
hex_0004623,10.95651766721177,202.341748951419,80.0,0.4838312503631262,0.1935325001452505,0.0,100.0,43.55,dedicated_dataset,0.9301298162271757,0.9301298162271757,0.9301298162271757,0.0,100.0,95.11,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.7563498931039,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.32,64.1,63.71,87.94,54.78,
hex_0004181,0.0,515.0968966941106,80.0,0.4405877068944371,0.17623508275777483,100.036215645412,99.55387643391413,42.2,dedicated_dataset,0.9588600254014898,0.9588600254014898,0.9588600254014898,0.0,100.0,97.12,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.83406754189276,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.79,64.06,61.47,96.83,0.0,
hex_0009452,0.0,521.6290265792157,100.0,0.08655283437779819,0.034621133751119276,235.43119791827382,98.95006618447599,32.11,dedicated_dataset,0.8659074270060249,0.8659074270060249,0.8659074270060249,0.0,100.0,90.61,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.79391920833349,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.28,64.05,66.3,96.79,0.0,
hex_0053582,11.096324986595683,69.69118729871069,100.0,0.051325085681755256,0.0205300342727021,218.0323300450816,99.02765853372037,31.15,dedicated_dataset,0.8546715028383397,0.8546715028383397,0.8546715028383397,0.0,100.0,89.83,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,99.57165808350027,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.9,64.03,68.47,88.52,55.48,
hex_0013331,0.0,621.0982212901006,100.0,0.0,0.0,684.1980640102017,96.94873623261374,29.08,dedicated_dataset,0.9262704240379332,0.9262704240379332,0.9262704240379332,0.0,100.0,94.84,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,96.182553164123,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.25,63.9,66.16,96.18,0.0,
hex_0091822,15.308875073384526,185.36914674969356,100.0,0.0,0.0,726.7384213716678,96.75902237942346,29.03,dedicated_dataset,0.8996995398682714,0.8996995398682714,0.8996995398682714,0.0,100.0,92.98,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.86066834765846,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.43,63.7,69.08,83.73,76.54,
hex_0182357,15.032984241046895,254.55044870698822,80.0,0.9987302143094083,0.3994920857237633,0.0,100.0,57.96,dedicated_dataset,0.6419405242111562,0.6419405242111562,0.6419405242111562,0.0,100.0,74.94,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.43546033191151,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,60.97,63.68,64.5,83.64,75.16,
hex_0204085,13.392567944143686,75.50503995356611,80.0,0.7438473519306124,0.29753894077224496,0.0,100.0,50.83,dedicated_dataset,0.7420011554464602,0.7420011554464602,0.7420011554464602,0.0,100.0,81.94,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,99.53592448668617,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.44,63.67,64.02,86.21,66.96,
hex_0027619,0.0,1237.300619830087,80.0,0.9968968158900993,0.39875872635603965,0.0,100.0,57.91,dedicated_dataset,0.7459706920368303,0.7459706920368303,0.7459706920368303,0.0,100.0,82.22,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,92.39519745139816,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.36,63.64,61.54,92.4,0.0,
hex_0051858,12.420371145801411,199.73369083837702,100.0,0.0,0.0,1232.2066755997344,94.50482575008736,28.35,dedicated_dataset,0.8924238956707841,0.8924238956707841,0.8924238956707841,0.0,100.0,92.47,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.77237976221339,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.5,63.6,68.42,86.5,62.1,
hex_0012869,2.4343671657674837,355.19383586149604,100.0,0.0,0.0,1189.0088241682347,94.6974717773639,28.41,dedicated_dataset,0.8695495201014746,0.8695495201014746,0.8695495201014746,0.0,100.0,90.87,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,97.81687736600495,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.9,63.55,66.38,95.44,12.17,
hex_0048089,0.0,2756.9141146041893,80.0,0.9999991052728741,0.3999996421091496,0.0,100.0,58.0,dedicated_dataset,1.0,1.0,1.0,0.0,100.0,100.0,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,83.05521944384265,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,60.77,63.52,61.65,83.06,0.0,
hex_0003891,0.0,656.8976601554011,100.0,0.34957119631654654,0.13982847852661862,60.02830580668006,99.73229653201302,39.71,dedicated_dataset,0.6933932622764908,0.6933932622764908,0.6933932622764908,0.0,100.0,78.54,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,95.96251960109225,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.32,63.51,66.08,95.96,0.0,
hex_0008589,23.40077567137358,124.46705773881995,100.0,0.10926465456818686,0.04370586182727475,208.75030878987383,99.06905282673858,32.78,dedicated_dataset,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,100.0,100.0,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,99.23498995899709,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,60.67,63.51,69.41,76.01,83.0,
hex_0162208,0.0,636.198820035136,80.0,0.952163592101094,0.38086543684043755,0.0,100.0,56.66,dedicated_dataset,0.6466354926563381,0.6466354926563381,0.6466354926563381,0.0,100.0,75.26,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.0897405768009,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,61.42,63.45,61.32,96.09,0.0,
